province,price
Sumatera Utara,36050.0
Sumatera Utara,35900.0
Sumatera Utara,36100.0
Sumatera Utara,35950.0
Sumatera Utara,35900.0
Sumatera Utara,35900.0
Sumatera Utara,36000.0
Sumatera Utara,36000.0
Sumatera Utara,35550.0
Sumatera Utara,35350.0
Sumatera Utara,35450.0
Sumatera Utara,35550.0
Sumatera Utara,35850.0
Sumatera Utara,36350.0
Sumatera Utara,26800.0
Sumatera Utara,26800.0
Sumatera Utara,26800.0
Sumatera Utara,27000.0
Sumatera Utara,27450.0
Sumatera Utara,27500.0
Sumatera Utara,27500.0
Sumatera Utara,27750.0
Sumatera Utara,27850.0
Sumatera Utara,27750.0
Sumatera Utara,28100.0
Sumatera Utara,28100.0
Sumatera Utara,28100.0
Sumatera Utara,28000.0
Sumatera Utara,28000.0
Sumatera Utara,28000.0
Sumatera Utara,27350.0
Sumatera Utara,27750.0
Sumatera Utara,27750.0
Sumatera Utara,27500.0
Sumatera Utara,27750.0
Sumatera Utara,28100.0
Sumatera Utara,44150.0
Sumatera Utara,42250.0
Sumatera Utara,41450.0
Sumatera Utara,37200.0
Sumatera Utara,36100.0
Sumatera Utara,35650.0
Sumatera Utara,37200.0
Sumatera Utara,36950.0
Sumatera Utara,38400.0
Sumatera Utara,38250.0
Sumatera Utara,37900.0
Sumatera Utara,37550.0
Sumatera Utara,37400.0
Sumatera Utara,38450.0
Sumatera Utara,38800.0
Sumatera Utara,38800.0
Sumatera Utara,40950.0
Sumatera Utara,40000.0
Sumatera Utara,40350.0
Sumatera Utara,41500.0
Sumatera Utara,45800.0
Sumatera Utara,46350.0
Sumatera Utara,63450.0
Sumatera Utara,63750.0
Sumatera Utara,63750.0
Sumatera Utara,67250.0
Sumatera Utara,66250.0
Sumatera Utara,59500.0
Sumatera Utara,57700.0
Sumatera Utara,55600.0
Sumatera Utara,53950.0
Sumatera Utara,50200.0
Sumatera Utara,47550.0
Sumatera Utara,47600.0
Sumatera Utara,46350.0
Sumatera Utara,46850.0
Sumatera Utara,45600.0
Sumatera Utara,45600.0
Sumatera Utara,46700.0
Sumatera Utara,44050.0
Sumatera Utara,44050.0
Sumatera Utara,43950.0
Sumatera Utara,43000.0
Sumatera Utara,43750.0
Sumatera Utara,63500.0
Sumatera Utara,63500.0
Sumatera Utara,63500.0
